15:20:38.376 > X: -0.431104, Y: 0.289797, Z: 10.209969
15:20:38.395 > X: -0.428708, Y: 0.246687, Z: 10.202784
15:20:38.415 > X: -0.423918, Y: 0.273032, Z: 10.248288
15:20:38.435 > X: -0.481399, Y: 0.292192, Z: 10.281818
15:20:38.456 > X: -0.474214, Y: 0.203577, Z: 10.233918
15:20:38.475 > X: -0.517324, Y: 0.229922, Z: 10.298584
15:20:38.495 > X: -0.474214, Y: 0.273032, Z: 10.250684
15:20:38.515 > X: -0.462239, Y: 0.292192, Z: 10.224339
15:20:38.535 > X: -0.495769, Y: 0.282612, Z: 10.279424
15:20:38.555 > X: -0.467029, Y: 0.311353, Z: 10.277029
15:20:38.575 > X: -0.457449, Y: 0.270637, Z: 10.188413
15:20:38.595 > X: -0.495769, Y: 0.258662, Z: 10.267448
15:20:38.616 > X: -0.445474, Y: 0.294587, Z: 10.250684
15:20:38.635 > X: -0.445474, Y: 0.289797, Z: 10.159673
15:20:38.656 > X: -0.438289, Y: 0.292192, Z: 10.262659
15:20:38.675 > X: -0.447869, Y: 0.277822, Z: 10.200388
15:20:38.695 > X: -0.488584, Y: 0.277822, Z: 10.209969
15:20:38.715 > X: -0.421523, Y: 0.285007, Z: 10.183623
15:20:38.735 > X: -0.407153, Y: 0.220342, Z: 10.183623
15:20:38.756 > X: -0.493374, Y: 0.277822, Z: 10.279424
15:20:38.776 > X: -0.443079, Y: 0.311353, Z: 10.207573
15:20:38.796 > X: -0.457449, Y: 0.318538, Z: 10.293794
15:20:38.815 > X: -0.383203, Y: 0.229922, Z: 10.281818
15:20:38.835 > X: -0.414338, Y: 0.246687, Z: 10.193203
15:20:38.855 > X: -0.435894, Y: 0.287402, Z: 10.298584
15:20:38.875 > X: -0.455054, Y: 0.325723, Z: 10.334509
15:20:38.895 > X: -0.435894, Y: 0.263452, Z: 10.248288
15:20:38.915 > X: -0.450264, Y: 0.285007, Z: 10.183623
15:20:38.936 > X: -0.399968, Y: 0.201182, Z: 10.279424
15:20:38.956 > X: -0.390388, Y: 0.229922, Z: 10.372829
15:20:38.976 > X: -0.426313, Y: 0.304167, Z: 10.245893
15:20:38.995 > X: -0.411943, Y: 0.265847, Z: 10.159673
15:20:39.015 > X: -0.490979, Y: 0.201182, Z: 10.174043
15:20:39.035 > X: -0.450264, Y: 0.313748, Z: 10.195599
15:20:39.056 > X: -0.486189, Y: 0.270637, Z: 10.087822
15:20:39.076 > X: -0.392783, Y: 0.225132, Z: 10.293794
15:20:39.095 > X: -0.450264, Y: 0.215552, Z: 10.277029
15:20:39.116 > X: -0.419128, Y: 0.306563, Z: 10.171648
15:20:39.136 > X: -0.431104, Y: 0.261057, Z: 10.224339
15:20:39.155 > X: -0.479004, Y: 0.239502, Z: 10.233918
15:20:39.175 > X: -0.462239, Y: 0.301772, Z: 10.221943
15:20:39.195 > X: -0.479004, Y: 0.325723, Z: 10.133327
15:20:39.215 > X: -0.395178, Y: 0.296982, Z: 10.226733
15:20:39.235 > X: -0.502954, Y: 0.275427, Z: 10.197993
15:20:39.256 > X: -0.457449, Y: 0.332908, Z: 10.305769
15:20:39.276 > X: -0.462239, Y: 0.239502, Z: 10.317744
15:20:39.296 > X: -0.440684, Y: 0.277822, Z: 10.289004
15:20:39.316 > X: -0.447869, Y: 0.220342, Z: 10.293794
15:20:39.335 > X: -0.431104, Y: 0.253872, Z: 10.262659
15:20:39.355 > X: -0.479004, Y: 0.234712, Z: 10.274633
15:20:39.375 > X: -0.474214, Y: 0.270637, Z: 10.277029
15:20:39.395 > X: -0.464634, Y: 0.318538, Z: 10.243499
15:20:39.416 > X: -0.452659, Y: 0.253872, Z: 10.181228
15:20:39.436 > X: -0.462239, Y: 0.239502, Z: 10.224339
15:20:39.456 > X: -0.471819, Y: 0.251477, Z: 10.272239
15:20:39.476 > X: -0.493374, Y: 0.225132, Z: 10.174043
15:20:39.495 > X: -0.397573, Y: 0.301772, Z: 10.152488
15:20:39.515 > X: -0.426313, Y: 0.275427, Z: 10.188413
15:20:39.536 > X: -0.387993, Y: 0.234712, Z: 10.281818
15:20:39.555 > X: -0.395178, Y: 0.275427, Z: 10.281818
15:20:39.576 > X: -0.490979, Y: 0.251477, Z: 10.255474
15:20:39.596 > X: -0.474214, Y: 0.229922, Z: 10.243499
15:20:39.616 > X: -0.407153, Y: 0.258662, Z: 10.219548
15:20:39.636 > X: -0.514929, Y: 0.273032, Z: 10.190808
15:20:39.656 > X: -0.387993, Y: 0.263452, Z: 10.300979
15:20:39.675 > X: -0.490979, Y: 0.258662, Z: 10.243499
15:20:39.696 > X: -0.457449, Y: 0.308958, Z: 10.214758
15:20:39.715 > X: -0.560435, Y: 0.275427, Z: 10.236314
15:20:39.735 > X: -0.440684, Y: 0.191602, Z: 10.269844
15:20:39.755 > X: -0.445474, Y: 0.256267, Z: 10.248288
15:20:39.776 > X: -0.447869, Y: 0.227527, Z: 10.205178
15:20:39.796 > X: -0.431104, Y: 0.225132, Z: 10.226733
15:20:39.816 > X: -0.467029, Y: 0.251477, Z: 10.209969
15:20:39.835 > X: -0.493374, Y: 0.287402, Z: 10.219548
15:20:39.855 > X: -0.419128, Y: 0.232317, Z: 10.238708
15:20:39.876 > X: -0.450264, Y: 0.251477, Z: 10.190808
15:20:39.895 > X: -0.399968, Y: 0.273032, Z: 10.226733
15:20:39.915 > X: -0.433499, Y: 0.294587, Z: 10.233918
15:20:39.936 > X: -0.435894, Y: 0.344883, Z: 10.233918
15:20:39.956 > X: -0.455054, Y: 0.323328, Z: 10.214758
15:20:39.976 > X: -0.490979, Y: 0.227527, Z: 10.281818
15:20:39.995 > X: -0.440684, Y: 0.277822, Z: 10.250684
15:20:40.015 > X: -0.462239, Y: 0.246687, Z: 10.257869
15:20:40.035 > X: -0.483794, Y: 0.308958, Z: 10.238708
15:20:40.055 > X: -0.438289, Y: 0.296982, Z: 10.289004
15:20:40.075 > X: -0.467029, Y: 0.261057, Z: 10.277029
15:20:40.096 > X: -0.447869, Y: 0.258662, Z: 10.231524
15:20:40.116 > X: -0.414338, Y: 0.239502, Z: 10.193203
15:20:40.136 > X: -0.467029, Y: 0.275427, Z: 10.224339
15:20:40.155 > X: -0.450264, Y: 0.253872, Z: 10.253078
15:20:40.175 > X: -0.423918, Y: 0.263452, Z: 10.277029
15:20:40.195 > X: -0.498164, Y: 0.261057, Z: 10.193203
15:20:40.215 > X: -0.471819, Y: 0.285007, Z: 10.221943
15:20:40.235 > X: -0.457449, Y: 0.249082, Z: 10.272239
15:20:40.256 > X: -0.414338, Y: 0.292192, Z: 10.267448
15:20:40.275 > X: -0.507744, Y: 0.325723, Z: 10.241103
15:20:40.295 > X: -0.433499, Y: 0.282612, Z: 10.219548
15:20:40.315 > X: -0.457449, Y: 0.306563, Z: 10.329720
15:20:40.335 > X: -0.479004, Y: 0.215552, Z: 10.255474
15:20:40.355 > X: -0.493374, Y: 0.277822, Z: 10.233918
15:20:40.375 > X: -0.431104, Y: 0.292192, Z: 10.286609
15:20:40.395 > X: -0.450264, Y: 0.251477, Z: 10.193203
15:20:40.415 > X: -0.469424, Y: 0.294587, Z: 10.279424
15:20:40.436 > X: -0.490979, Y: 0.213157, Z: 10.157278
15:20:40.456 > X: -0.462239, Y: 0.237107, Z: 10.221943
15:20:40.475 > X: -0.409548, Y: 0.273032, Z: 10.300979
15:20:40.495 > X: -0.483794, Y: 0.268242, Z: 10.164463
15:20:40.515 > X: -0.524509, Y: 0.239502, Z: 10.236314
15:20:40.535 > X: -0.481399, Y: 0.251477, Z: 10.265054
15:20:40.555 > X: -0.479004, Y: 0.220342, Z: 10.212363
15:20:40.576 > X: -0.438289, Y: 0.285007, Z: 10.274633
15:20:40.596 > X: -0.469424, Y: 0.249082, Z: 10.305769
